INFO: kbplacer_plugin_action.py:70: Plugin version: 0.14
INFO: kbplacer_plugin_action.py:71: Python version: '3.11.5 (main, Sep 17 2025, 01:04:48) [MSC v.1944 64 bit (AMD64)]'
INFO: kbplacer_plugin_action.py:72: KiCad version: 9.0.5 with 4.2.2 msw (phoenix) wxWidgets 3.2.8
INFO: kbplacer_dialog.py:631: Language: en
INFO: kbplacer_plugin_action.py:80: GUI state: {"layout_path": "C:\\Users\\natha\\Desktop\\Projects\\input-peripherals\\forty\\40+\\40%+-with-fkeys.json", "key_distance": [19.05, 19.05], "key_info": {"annotation_format": "S{}", "position_option": "Default", "position": {"x": 0.0, "y": 0.0, "orientation": 0.0, "side": "Front"}, "template_path": ""}, "enable_diode_placement": true, "route_switches_with_diodes": true, "optimize_diodes_orientation": false, "diode_info": {"annotation_format": "D{}", "position_option": "Default", "position": {"x": 5.08, "y": 3.03, "orientation": 90.0, "side": "Back"}, "template_path": ""}, "additional_elements": [{"annotation_format": "ST{}", "position_option": "Custom", "position": {"x": 0.0, "y": 0.0, "orientation": 0.0, "side": "Front"}, "template_path": ""}], "route_rows_and_columns": true, "template_path": "", "generate_outline": false, "outline_delta": 0.0}
DEBUG: key_placer.py:424: Set key 1U distance: 19050000/19050000
DEBUG: key_placer.py:141: Switches by nets: defaultdict(<class 'list'>, {frozenset({'Net-(U3-P0.18{slash}~{RESET})', 'GND'}): ['SW1'], frozenset({'Col 14', 'Row 3'}): ['S55'], frozenset({'Col 13', 'Row 3'}): ['S54'], frozenset({'Row 3', 'Col 12'}): ['S53'], frozenset({'Row 3', 'Col 8'}): ['S52'], frozenset({'Col 4', 'Row 3'}): ['S51'], frozenset({'Row 3', 'Col 3'}): ['S50'], frozenset({'Col 2', 'Row 3'}): ['S49'], frozenset({'Col 1', 'Row 3'}): ['S48'], frozenset({'Col 0', 'Row 3'}): ['S47'], frozenset({'Col 14', 'Row 2'}): ['S46'], frozenset({'Col 13', 'Row 2'}): ['S45'], frozenset({'Col 12', 'Row 2'}): ['S44'], frozenset({'Col 11', 'Row 2'}): ['S43'], frozenset({'Col 10', 'Row 2'}): ['S42'], frozenset({'Col 9', 'Row 2'}): ['S41'], frozenset({'Col 8', 'Row 2'}): ['S40'], frozenset({'Col 7', 'Row 2'}): ['S39'], frozenset({'Col 6', 'Row 2'}): ['S38'], frozenset({'Col 5', 'Row 2'}): ['S37'], frozenset({'Col 4', 'Row 2'}): ['S36'], frozenset({'Col 3', 'Row 2'}): ['S35'], frozenset({'Col 2', 'Row 2'}): ['S34'], frozenset({'Col 1', 'Row 2'}): ['S33'], frozenset({'Col 0', 'Row 2'}): ['S32'], frozenset({'Col 14', 'Row 1'}): ['S31'], frozenset({'Col 13', 'Row 1'}): ['S30'], frozenset({'Row 1', 'Col 12'}): ['S29'], frozenset({'Col 11', 'Row 1'}): ['S28'], frozenset({'Row 1', 'Col 10'}): ['S27'], frozenset({'Col 9', 'Row 1'}): ['S26'], frozenset({'Col 8', 'Row 1'}): ['S25'], frozenset({'Col 7', 'Row 1'}): ['S24'], frozenset({'Col 6', 'Row 1'}): ['S23'], frozenset({'Col 5', 'Row 1'}): ['S22'], frozenset({'Col 4', 'Row 1'}): ['S21'], frozenset({'Row 1', 'Col 3'}): ['S20'], frozenset({'Col 2', 'Row 1'}): ['S19'], frozenset({'Col 1', 'Row 1'}): ['S18'], frozenset({'Col 0', 'Row 1'}): ['S17'], frozenset({'Col 15', 'Row 0'}): ['S16'], frozenset({'Col 14', 'Row 0'}): ['S15'], frozenset({'Col 13', 'Row 0'}): ['S14'], frozenset({'Row 0', 'Col 12'}): ['S13'], frozenset({'Col 11', 'Row 0'}): ['S12'], frozenset({'Col 10', 'Row 0'}): ['S11'], frozenset({'Col 9', 'Row 0'}): ['S10'], frozenset({'Col 8', 'Row 0'}): ['S9'], frozenset({'Col 7', 'Row 0'}): ['S8'], frozenset({'Col 6', 'Row 0'}): ['S7'], frozenset({'Col 5', 'Row 0'}): ['S6'], frozenset({'Col 4', 'Row 0'}): ['S5'], frozenset({'Row 0', 'Col 3'}): ['S4'], frozenset({'Col 2', 'Row 0'}): ['S3'], frozenset({'Col 1', 'Row 0'}): ['S2'], frozenset({'Col 0', 'Row 0'}): ['S1']})
DEBUG: key_placer.py:145: Diodes by switch: {'S55': ['D55'], 'S54': ['D54'], 'S53': ['D53'], 'S52': ['D52'], 'S51': ['D51'], 'S50': ['D50'], 'S49': ['D49'], 'S48': ['D48'], 'S47': ['D47'], 'S46': ['D46'], 'S45': ['D45'], 'S44': ['D44'], 'S43': ['D43'], 'S42': ['D42'], 'S41': ['D41'], 'S40': ['D40'], 'S39': ['D39'], 'S38': ['D38'], 'S37': ['D37'], 'S36': ['D36'], 'S35': ['D35'], 'S34': ['D34'], 'S33': ['D33'], 'S32': ['D32'], 'S31': ['D31'], 'S30': ['D30'], 'S29': ['D29'], 'S28': ['D28'], 'S27': ['D27'], 'S26': ['D26'], 'S25': ['D25'], 'S24': ['D24'], 'S23': ['D23'], 'S22': ['D22'], 'S21': ['D21'], 'S20': ['D20'], 'S19': ['D19'], 'S18': ['D18'], 'S17': ['D17'], 'S16': ['D16'], 'S15': ['D15'], 'S14': ['D14'], 'S13': ['D13'], 'S12': ['D12'], 'S11': ['D11'], 'S10': ['D10'], 'S9': ['D9'], 'S8': ['D8'], 'S7': ['D7'], 'S6': ['D6'], 'S5': ['D5'], 'S4': ['D4'], 'S3': ['D3'], 'S2': ['D2'], 'S1': ['D1']}
INFO: kle_serial.py:931: User layout: [{'name': '40%+ with fkeys', 'author': 'nathan ge'}, ['F1', 'F5', {'x': 0.25}, 'Esc', 'Q', 'W', 'E', 'R', 'T', 'Y', 'U', 'I', 'O', 'P', '{\n[', '}\n}', 'Delete'], ['F2', 'F6', {'x': 0.25, 'w': 1.25}, 'Tab', 'A', 'S', 'D', 'F', 'G', 'H', 'J', 'K', 'L', ':\n;', '"\n\'', {'w': 1.75}, 'Return'], ['F3', 'F7', {'x': 0.25, 'w': 1.75}, 'Shift', 'Z', 'X', 'C', 'V', 'B', 'N', 'M', '<\n,', '>\n.', '?\n/', 'Hyper', {'w': 1.25}, 'Shift'], ['F4', 'F8', {'x': 0.25, 'a': 7, 'w': 1.25}, '', {'a': 4}, 'Alt', {'w': 1.5}, '⌘', {'a': 7, 'w': 6.25}, '', {'a': 4, 'w': 1.5}, '⌘', 'Alt', {'a': 7, 'w': 1.5}, '']]
DEBUG: key_placer.py:724: Layout offset: (28575000, 28575000)
DEBUG: board_modifier.py:107: Getting S13 footprint position: (271462500, 38100000)
DEBUG: board_modifier.py:94: Setting D13 footprint position: (276542500, 41130000)
DEBUG: board_modifier.py:107: Getting S14 footprint position: (290512500, 38100000)
DEBUG: board_modifier.py:94: Setting D14 footprint position: (295592500, 41130000)
DEBUG: board_modifier.py:107: Getting S15 footprint position: (309562500, 38100000)
DEBUG: board_modifier.py:94: Setting D15 footprint position: (314642500, 41130000)
DEBUG: board_modifier.py:107: Getting S16 footprint position: (328612500, 38100000)
DEBUG: board_modifier.py:94: Setting D16 footprint position: (333692500, 41130000)
DEBUG: board_modifier.py:107: Getting S17 footprint position: (38100000, 57150000)
DEBUG: board_modifier.py:94: Setting D17 footprint position: (43180000, 60180000)
DEBUG: board_modifier.py:107: Getting S18 footprint position: (57150000, 57150000)
DEBUG: board_modifier.py:94: Setting D18 footprint position: (62230000, 60180000)
DEBUG: board_modifier.py:107: Getting S19 footprint position: (83343750, 57150000)
DEBUG: board_modifier.py:94: Setting D19 footprint position: (88423750, 60180000)
DEBUG: board_modifier.py:107: Getting S20 footprint position: (104775000, 57150000)
DEBUG: board_modifier.py:94: Setting D20 footprint position: (109855000, 60180000)
DEBUG: board_modifier.py:107: Getting S21 footprint position: (123825000, 57150000)
DEBUG: board_modifier.py:94: Setting D21 footprint position: (128905000, 60180000)
DEBUG: board_modifier.py:107: Getting S22 footprint position: (142875000, 57150000)
DEBUG: board_modifier.py:94: Setting D22 footprint position: (147955000, 60180000)
DEBUG: board_modifier.py:107: Getting S23 footprint position: (161925000, 57150000)
DEBUG: board_modifier.py:94: Setting D23 footprint position: (167005000, 60180000)
DEBUG: board_modifier.py:107: Getting S24 footprint position: (180975000, 57150000)
DEBUG: board_modifier.py:94: Setting D24 footprint position: (186055000, 60180000)
DEBUG: board_modifier.py:107: Getting S25 footprint position: (200025000, 57150000)
DEBUG: board_modifier.py:94: Setting D25 footprint position: (205105000, 60180000)
DEBUG: board_modifier.py:107: Getting S26 footprint position: (219075000, 57150000)
DEBUG: board_modifier.py:94: Setting D26 footprint position: (224155000, 60180000)
DEBUG: board_modifier.py:107: Getting S27 footprint position: (238125000, 57150000)
DEBUG: board_modifier.py:94: Setting D27 footprint position: (243205000, 60180000)
DEBUG: board_modifier.py:107: Getting S28 footprint position: (257175000, 57150000)
DEBUG: board_modifier.py:94: Setting D28 footprint position: (262255000, 60180000)
DEBUG: board_modifier.py:107: Getting S29 footprint position: (276225000, 57150000)
DEBUG: board_modifier.py:94: Setting D29 footprint position: (281305000, 60180000)
DEBUG: board_modifier.py:107: Getting S30 footprint position: (295275000, 57150000)
DEBUG: board_modifier.py:94: Setting D30 footprint position: (300355000, 60180000)
DEBUG: board_modifier.py:107: Getting S31 footprint position: (321468750, 57150000)
DEBUG: board_modifier.py:94: Setting D31 footprint position: (326548750, 60180000)
DEBUG: board_modifier.py:107: Getting S32 footprint position: (38100000, 76200000)
DEBUG: board_modifier.py:94: Setting D32 footprint position: (43180000, 79230000)
DEBUG: board_modifier.py:107: Getting S33 footprint position: (57150000, 76200000)
DEBUG: board_modifier.py:94: Setting D33 footprint position: (62230000, 79230000)
DEBUG: board_modifier.py:107: Getting S34 footprint position: (88106250, 76200000)
DEBUG: board_modifier.py:94: Setting D34 footprint position: (93186250, 79230000)
DEBUG: board_modifier.py:107: Getting S35 footprint position: (114300000, 76200000)
DEBUG: board_modifier.py:94: Setting D35 footprint position: (119380000, 79230000)
DEBUG: board_modifier.py:107: Getting S36 footprint position: (133350000, 76200000)
DEBUG: board_modifier.py:94: Setting D36 footprint position: (138430000, 79230000)
DEBUG: board_modifier.py:107: Getting S37 footprint position: (152400000, 76200000)
DEBUG: board_modifier.py:94: Setting D37 footprint position: (157480000, 79230000)
DEBUG: board_modifier.py:107: Getting S38 footprint position: (171450000, 76200000)
DEBUG: board_modifier.py:94: Setting D38 footprint position: (176530000, 79230000)
DEBUG: board_modifier.py:107: Getting S39 footprint position: (190500000, 76200000)
DEBUG: board_modifier.py:94: Setting D39 footprint position: (195580000, 79230000)
DEBUG: board_modifier.py:107: Getting S40 footprint position: (209550000, 76200000)
DEBUG: board_modifier.py:94: Setting D40 footprint position: (214630000, 79230000)
DEBUG: board_modifier.py:107: Getting S41 footprint position: (228600000, 76200000)
DEBUG: board_modifier.py:94: Setting D41 footprint position: (233680000, 79230000)
DEBUG: board_modifier.py:107: Getting S42 footprint position: (247650000, 76200000)
DEBUG: board_modifier.py:94: Setting D42 footprint position: (252730000, 79230000)
DEBUG: board_modifier.py:107: Getting S43 footprint position: (266700000, 76200000)
DEBUG: board_modifier.py:94: Setting D43 footprint position: (271780000, 79230000)
DEBUG: board_modifier.py:107: Getting S44 footprint position: (285750000, 76200000)
DEBUG: board_modifier.py:94: Setting D44 footprint position: (290830000, 79230000)
DEBUG: board_modifier.py:107: Getting S45 footprint position: (304800000, 76200000)
DEBUG: board_modifier.py:94: Setting D45 footprint position: (309880000, 79230000)
DEBUG: board_modifier.py:107: Getting S46 footprint position: (326231250, 76200000)
DEBUG: board_modifier.py:94: Setting D46 footprint position: (331311250, 79230000)
DEBUG: board_modifier.py:107: Getting S47 footprint position: (38100000, 95250000)
DEBUG: board_modifier.py:94: Setting D47 footprint position: (43180000, 98280000)
DEBUG: board_modifier.py:107: Getting S48 footprint position: (57150000, 95250000)
DEBUG: board_modifier.py:94: Setting D48 footprint position: (62230000, 98280000)
DEBUG: board_modifier.py:107: Getting S49 footprint position: (83343750, 95250000)
DEBUG: board_modifier.py:94: Setting D49 footprint position: (88423750, 98280000)
DEBUG: board_modifier.py:107: Getting S50 footprint position: (104775000, 95250000)
DEBUG: board_modifier.py:94: Setting D50 footprint position: (109855000, 98280000)
DEBUG: board_modifier.py:107: Getting S51 footprint position: (128587500, 95250000)
DEBUG: board_modifier.py:94: Setting D51 footprint position: (133667500, 98280000)
DEBUG: board_modifier.py:107: Getting S52 footprint position: (202406250, 95250000)
DEBUG: board_modifier.py:94: Setting D52 footprint position: (207486250, 98280000)
DEBUG: board_modifier.py:107: Getting S53 footprint position: (276225000, 95250000)
DEBUG: board_modifier.py:94: Setting D53 footprint position: (281305000, 98280000)
DEBUG: board_modifier.py:107: Getting S54 footprint position: (300037500, 95250000)
DEBUG: board_modifier.py:94: Setting D54 footprint position: (305117500, 98280000)
DEBUG: board_modifier.py:107: Getting S55 footprint position: (323850000, 95250000)
DEBUG: board_modifier.py:94: Setting D55 footprint position: (328930000, 98280000)
DEBUG: board_modifier.py:107: Getting SW1 footprint position: (388262500, 33875000)
DEBUG: key_placer.py:854: Placing additional elements for SW1
DEBUG: board_modifier.py:107: Getting SW1 footprint position: (388262500, 33875000)
DEBUG: board_modifier.py:84: Searching for optional STW1 footprint in C:\Users\natha\Desktop\Projects\input-peripherals\forty\40+\40+_pcb\40+_pcb.kicad_pcb
DEBUG: board_modifier.py:89: Footprint not found
DEBUG: key_placer.py:854: Placing additional elements for S55
DEBUG: board_modifier.py:107: Getting S55 footprint position: (323850000, 95250000)
DEBUG: board_modifier.py:84: Searching for optional ST55 footprint in C:\Users\natha\Desktop\Projects\input-peripherals\forty\40+\40+_pcb\40+_pcb.kicad_pcb
DEBUG: board_modifier.py:89: Footprint not found
DEBUG: key_placer.py:854: Placing additional elements for S54
DEBUG: board_modifier.py:107: Getting S54 footprint position: (300037500, 95250000)
DEBUG: board_modifier.py:84: Searching for optional ST54 footprint in C:\Users\natha\Desktop\Projects\input-peripherals\forty\40+\40+_pcb\40+_pcb.kicad_pcb
DEBUG: board_modifier.py:89: Footprint not found
DEBUG: key_placer.py:854: Placing additional elements for S53
DEBUG: board_modifier.py:107: Getting S53 footprint position: (276225000, 95250000)
DEBUG: board_modifier.py:84: Searching for optional ST53 footprint in C:\Users\natha\Desktop\Projects\input-peripherals\forty\40+\40+_pcb\40+_pcb.kicad_pcb
DEBUG: board_modifier.py:89: Footprint not found
DEBUG: key_placer.py:854: Placing additional elements for S52
DEBUG: board_modifier.py:107: Getting S52 footprint position: (202406250, 95250000)
DEBUG: board_modifier.py:84: Searching for optional ST52 footprint in C:\Users\natha\Desktop\Projects\input-peripherals\forty\40+\40+_pcb\40+_pcb.kicad_pcb
DEBUG: board_modifier.py:89: Footprint not found
